Year,Country,Total_Acres
2010,CHINA,69120.0
2010,IRAN (ISLAMIC REPUBLIC OF),4324.0
2010,"KOREA, D.P.R.O.",469.0
2010,RUSSIAN FEDERATION,834.0
2011,CHINA,69295.0
2011,IRAN (ISLAMIC REPUBLIC OF),4324.0
2011,"KOREA, D.P.R.O.",469.0
2011,RUSSIAN FEDERATION,834.0
2012,CHINA,97739.0
2012,IRAN (ISLAMIC REPUBLIC OF),4324.0
2012,"KOREA, D.P.R.O.",469.0
2012,RUSSIAN FEDERATION,834.0
2013,CHINA,248502.54
2013,IRAN (ISLAMIC REPUBLIC OF),4324.0
2013,"KOREA, D.P.R.O.",469.0
2013,RUSSIAN FEDERATION,834.0
2014,CHINA,246585.24
2014,IRAN (ISLAMIC REPUBLIC OF),4324.0
2014,"KOREA, D.P.R.O.",469.0
2014,RUSSIAN FEDERATION,834.0
2015,CHINA,246716.24
2015,IRAN (ISLAMIC REPUBLIC OF),4324.0
2015,RUSSIAN FEDERATION,834.0
2016,CHINA,246543.46
2016,IRAN (ISLAMIC REPUBLIC OF),4324.0
2016,RUSSIAN FEDERATION,834.0
2017,CHINA,246966.06
2017,IRAN (ISLAMIC REPUBLIC OF),4324.0
2017,RUSSIAN FEDERATION,834.0
2018,CHINA,247216.23
2018,IRAN (ISLAMIC REPUBLIC OF),4324.0
2018,RUSSIAN FEDERATION,834.0
2019,CHINA,247268.41
2019,IRAN (ISLAMIC REPUBLIC OF),4324.0
2019,RUSSIAN FEDERATION,834.0
2020,CHINA,352139.57
2020,IRAN (ISLAMIC REPUBLIC OF),4324.0
2020,RUSSIAN FEDERATION,834.0
2021,CHINA,383934.73
2021,IRAN (ISLAMIC REPUBLIC OF),4324.0
2021,RUSSIAN FEDERATION,73.0
2022,CHINA,311608.07
2022,IRAN (ISLAMIC REPUBLIC OF),4354.83
2022,RUSSIAN FEDERATION,63.0
2023,CHINA,277335.8
2023,IRAN (ISLAMIC REPUBLIC OF),3029.83
2023,RUSSIAN FEDERATION,11.0
2024,CHINA,247659.19
2024,IRAN (ISLAMIC REPUBLIC OF),547.0
2024,RUSSIAN FEDERATION,11.0
